회계연도,지역명,전년당초,당해당초,증가율
2020,경북,9882832647000,10893557000000,10.2271
2020,광주,5435381444000,6140721042000,12.9768
2020,대구,8822143600000,10920689661000,23.7873
2020,대전,5752981715000,6782711840000,17.8991
2020,부산,12901267298000,13780451724000,6.8147
2020,서울,38781400115000,41984488460000,8.2593
2020,세종,1726445940000,1760324553000,1.9623
2020,울산,4100049021000,4401890979000,7.3619
2020,인천,10768928815000,11920554441000,10.694
2020,전남,8423825265000,9305125931000,10.462
2020,전북,7053029207000,7826158913000,10.9617
2020,제주,6032330256000,6758074945000,12.0309
2020,충남,7264644000000,7783569000000,7.1432
2020,충북,5147136746000,5740886601000,11.5355
2021,강원,7443524404000,7970144688000,7.0749
2021,경기,31737661131000,32625652195000,2.7979
2021,경남,9999440102000,11204033618000,12.0466
2021,경북,10893557000000,11770805307000,8.0529
2021,광주,6140721042000,6738387521000,9.7328
2021,대구,10920689661000,10308622124000,-5.6047
2021,대전,6782711840000,6620095602000,-2.3975
2021,부산,13780451724000,14511899442000,5.3079
2021,서울,41984488460000,41999130244000,0.0349
2021,세종,1760324553000,2116899111000,20.2562
2021,울산,4401890979000,4593786048000,4.3594
2021,인천,11920554441000,12950012640000,8.636
2021,전남,9305125931000,10221324791000,9.8462
2021,전북,7826158913000,8772482523000,12.0918
2021,제주,6758074945000,6499212139000,-3.8304
2021,충남,7783569000000,8711295000000,11.919
2021,충북,5740886601000,6653569515000,15.8979
2022,강원,7970144688000,8348261917000,4.7442
2022,경기,32625652195000,39723621157000,21.7558
2022,경남,11204033618000,11844410855000,5.7156
2022,경북,11770805307000,12513454899000,6.3093
2022,광주,6738387521000,7451380916000,10.5811
2022,대구,10308622124000,11110717302000,7.7808
2022,대전,6620095602000,7217447812000,9.0233
2022,부산,14511899442000,15529614860000,7.013
2022,서울,41999130244000,47721110506000,13.624
2022,세종,2116899111000,2321067388000,9.6447
2022,울산,4593786048000,5041609918000,9.7485
2022,인천,12950012640000,14397052515000,11.174
2022,전남,10221324791000,11275009220000,10.3087
2022,전북,8772482523000,9100518130000,3.7394
2022,제주,6499212139000,7092804666000,9.1333
2022,충남,8711295000000,9380086299000,7.6773
2022,충북,6653569515000,7022966510000,5.5519
2023,강원,8348261917000,8676740292000,3.9347
2023,경기,39723621157000,38229645876000,-3.7609
2023,경남,11844410855000,12742649623000,7.5837
2023,경북,12513454899000,13372746411000,6.8669
2023,광주,7451380916000,7467959832000,0.2225
2023,대구,11110717302000,11649756416000,4.8515
2023,대전,7217447812000,7540100248000,4.4705
2023,부산,15529614860000,16690868257000,7.4777
2023,서울,47721110506000,52387838215000,9.7792
2023,세종,2321067388000,2503293576000,7.851
2023,울산,5041609918000,5194230336000,3.0272
2023,인천,14397052515000,15379013711000,6.8206
2023,전남,11275009220000,11809873234000,4.7438
2023,전북,9100518130000,9861808073000,8.3653
2023,제주,7092804666000,8070231073000,13.7805
2023,충남,9380086299000,9890664709000,5.4432
2023,충북,7022966510000,7774159302000,10.6962
2024,강원,8676740292000,8659092237000,-0.2034
2024,경기,38229645876000,40392565019000,5.6577
2024,경남,12742649623000,12619394334000,-0.9673
2024,경북,13372746411000,13716511834000,2.5706
2024,광주,7467959832000,7319929890000,-1.9822
2024,대구,11649756416000,11345683502000,-2.6101
2024,대전,7540100248000,7473315038000,-0.8857
2024,부산,16690868257000,17143080729000,2.7093
2024,서울,52387838215000,50524459781000,-3.5569
2024,세종,2503293576000,2163037863000,-13.5923
2024,울산,5194230336000,5404273282000,4.0438
2024,인천,15379013711000,16485879506000,7.1972
2024,전남,11809873234000,12246177945000,3.6944
2024,전북,9861808073000,9990801613000,1.308
2024,제주,8070231073000,8573698842000,6.2386
2024,충남,9890664709000,10810889000000,9.304
2024,충북,7774159302000,8018462382000,3.1425
