회계연도,지역명,자치단체명,자치단체코드,본청여부,통합재정수지비율
2016,강원,강원평창군,4274000,N,4.9
2016,강원,강원정선군,4275000,N,5.97
2016,강원,강원철원군,4276000,N,8.39
2016,강원,강원화천군,4277000,N,1.54
2016,강원,강원양구군,4278000,N,7.04
2016,강원,강원인제군,4279000,N,5.3
2016,강원,강원고성군,4280000,N,11.85
2016,강원,강원양양군,4281000,N,15.04
2016,충북,충북본청,4300000,Y,0.28
2016,충북,충북충주시,4312000,N,8.11
2016,충북,충북제천시,4313000,N,8.16
2016,충북,충북청주시,4314000,N,4.32
2016,충북,충북보은군,4372000,N,6.23
2016,충북,충북옥천군,4373000,N,-4.59
2016,충북,충북영동군,4374000,N,0.8
2016,충북,충북진천군,4375000,N,10.3
2016,충북,충북괴산군,4376000,N,6.58
2016,충북,충북음성군,4377000,N,6.12
2016,충북,충북단양군,4378000,N,6.99
2016,충북,충북증평군,4379000,N,-0.14
2016,충남,충남본청,4400000,Y,3.11
2016,충남,충남천안시,4411000,N,14.91
2016,충남,충남공주시,4412000,N,5.96
2016,충남,충남보령시,4413000,N,9.09
2016,충남,충남아산시,4414000,N,-1.97
2016,충남,충남서산시,4415000,N,6.51
2016,충남,충남논산시,4416000,N,12.47
2016,충남,충남계룡시,4417000,N,-3.33
2016,충남,충남당진시,4418000,N,8.68
2016,충남,충남금산군,4471000,N,4.44
2016,충남,충남부여군,4473000,N,15.34
2016,충남,충남서천군,4474000,N,4.99
2016,충남,충남청양군,4475000,N,0.75
2016,충남,충남홍성군,4476000,N,0.04
2016,충남,충남예산군,4477000,N,8.26
2016,충남,충남태안군,4478000,N,8.05
2016,전북,전북본청,4500000,Y,0.97
2016,전북,전북전주시,4511000,N,11.16
2016,전북,전북군산시,4512000,N,4.42
2016,전북,전북익산시,4513000,N,2.01
2016,전북,전북정읍시,4514000,N,10.18
2016,전북,전북남원시,4515000,N,4.6
2016,전북,전북김제시,4516000,N,2.65
2016,전북,전북완주군,4571000,N,-6.07
2016,전북,전북진안군,4572000,N,-0.79
2016,전북,전북무주군,4573000,N,7.71
2016,전북,전북장수군,4574000,N,3.85
2016,전북,전북임실군,4575000,N,-4.76
2016,전북,전북순창군,4576000,N,-0.52
2016,전북,전북고창군,4577000,N,2.47
2016,전북,전북부안군,4578000,N,-2.35
2016,전남,전남본청,4600000,Y,-2.95
2016,전남,전남목포시,4611000,N,5.36
2016,전남,전남여수시,4612000,N,12.42
2016,전남,전남순천시,4613000,N,2.65
2016,전남,전남나주시,4614000,N,7.87
2016,전남,전남광양시,4615000,N,-0.07
2016,전남,전남담양군,4671000,N,19.14
2016,전남,전남곡성군,4672000,N,12.69
2016,전남,전남구례군,4673000,N,2.54
2016,전남,전남고흥군,4674000,N,8.07
2016,전남,전남보성군,4675000,N,7.61
2016,전남,전남화순군,4676000,N,7.97
2016,전남,전남장흥군,4677000,N,-2.44
2016,전남,전남강진군,4678000,N,8.91
2016,전남,전남해남군,4679000,N,8.81
2016,전남,전남영암군,4680000,N,8.18
2016,전남,전남무안군,4681000,N,9.6
2016,전남,전남함평군,4682000,N,2.35
2016,전남,전남영광군,4683000,N,5.53
2016,전남,전남장성군,4684000,N,-0.01
2016,전남,전남완도군,4685000,N,0.28
2016,전남,전남진도군,4686000,N,16.22
2016,전남,전남신안군,4687000,N,4.23
2016,경북,경북본청,4700000,Y,-2.82
2016,경북,경북포항시,4711000,N,7.12
2016,경북,경북경주시,4712000,N,11.17
2016,경북,경북김천시,4713000,N,10.88
2016,경북,경북안동시,4714000,N,2.55
2016,경북,경북구미시,4715000,N,6.09
2016,경북,경북영주시,4716000,N,5.34
2016,경북,경북영천시,4717000,N,-0.2
2016,경북,경북상주시,4718000,N,15.32
2016,경북,경북문경시,4719000,N,4.26
