회계연도,시도명,계층,세목명,금액,비중
2013,대구,시도,담배소비세,115524922000,0.3
2013,대구,시도,도시계획세(재산세),10165000,0
2013,대구,시도,도축세,0,0
2013,대구,시도,등록면허세,49451091000,0.12
2013,대구,시도,레저세,8173479000,0.02
2013,대구,시도,자동차세,328958518000,0.84
2013,대구,시도,재산세,261037799000,0.67
2013,대구,시도,주민세,13282905000,0.03
2013,대구,시도,지방교육세,201256634000,0.51
2013,대구,시도,지방소득세,257627557000,0.66
2013,대구,시도,지역자원시설세,34618531000,0.09
2013,대구,시도,취득세,593179329000,1.52
2013,대전,시도,과년도수입,16427815000,0.04
2013,대전,시도,담배소비세,77432633000,0.2
2013,대전,시도,도시계획세(재산세),35284000,0
2013,대전,시도,도축세,0,0
2013,대전,시도,등록면허세,26618088000,0.07
2013,대전,시도,레저세,18224917000,0.05
2013,대전,시도,자동차세,195065429000,0.5
2013,대전,시도,재산세,179419269000,0.46
2013,대전,시도,주민세,9128310000,0.02
2013,대전,시도,지방교육세,118553891000,0.3
2013,대전,시도,지방소득세,217080834000,0.55
2013,대전,시도,지역자원시설세,23901351000,0.06
2013,대전,시도,취득세,265039122000,0.68
2013,부산,군,과년도수입,733404000,0.04
2013,부산,군,담배소비세,6303641000,0.3
2013,부산,군,도시계획세(재산세),1138000,0
2013,부산,군,도축세,0,0
2013,부산,군,자동차세,12685003000,0.61
2013,부산,군,재산세,29831201000,1.42
2013,부산,군,주민세,959794000,0.05
2013,부산,군,지방소득세,23063558000,1.1
2013,부산,군,지역자원시설세,0,0
2013,부산,시도,과년도수입,21332931000,0.06
2013,부산,시도,담배소비세,174608931000,0.45
2013,부산,시도,도시계획세(재산세),57819000,0
2013,부산,시도,도축세,0,0
2013,부산,시도,등록면허세,81438669000,0.2
2013,부산,시도,레저세,106153213000,0.27
2013,부산,시도,자동차세,495110082000,1.27
2013,부산,시도,재산세,413812832000,1.06
2013,부산,시도,주민세,20168401000,0.05
2013,부산,시도,지방교육세,323051170000,0.82
2013,부산,시도,지방소득세,508289991000,1.3
2013,부산,시도,지역자원시설세,70852522000,0.18
2013,부산,시도,취득세,858831216000,2.19
2013,서울,시도,과년도수입,203502231000,0.52
2013,서울,시도,담배소비세,524485669000,1.34
2013,서울,시도,도시계획세(재산세),-76283000,0
2013,서울,시도,도축세,0,0
2013,서울,시도,등록면허세,330470307000,0.84
2013,서울,시도,레저세,155206859000,0.4
2013,서울,시도,자동차세,1092193369000,2.79
2013,서울,시도,재산세,2662855608000,6.81
2013,서울,시도,주민세,35835545000,0.09
2013,서울,시도,지방교육세,1085509460000,2.78
2013,서울,시도,지방소득세,3746374019000,9.58
2013,서울,시도,지역자원시설세,182745835000,0.47
2013,서울,시도,취득세,2481094191000,6.34
2013,세종,시도,과년도수입,113820000,0
2013,세종,시도,담배소비세,9475813000,0.02
2013,세종,시도,도시계획세(재산세),315000,0
2013,세종,시도,도축세,0,0
2013,세종,시도,등록면허세,4434168000,0.01
2013,세종,시도,레저세,0,0
2013,세종,시도,자동차세,15272792000,0.04
2013,세종,시도,재산세,20956856000,0.05
2013,세종,시도,주민세,1088538000,0
2013,세종,시도,지방교육세,19194824000,0.05
2013,세종,시도,지방소득세,29189457000,0.07
2013,세종,시도,지역자원시설세,1932118000,0
2013,세종,시도,취득세,104923344000,0.27
2013,울산,군,과년도수입,-1772671000,-0.08
2013,울산,군,담배소비세,13514940000,0.65
2013,울산,군,도시계획세(재산세),41679000,0
2013,울산,군,도축세,0,0
2013,울산,군,자동차세,42623567000,2.03
2013,울산,군,재산세,38290822000,1.83
2013,울산,군,주민세,2831467000,0.14
2013,울산,군,지방소득세,96554144000,4.61
2013,울산,군,지역자원시설세,0,0
2013,울산,시도,과년도수입,7847747000,0.02
2013,울산,시도,담배소비세,55949730000,0.14
2013,울산,시도,도시계획세(재산세),78710000,0
2013,울산,시도,도축세,0,0
2013,울산,시도,등록면허세,30095836000,0.07
2013,울산,시도,레저세,0,0
2013,울산,시도,자동차세,139965319000,0.36
2013,울산,시도,재산세,120070820000,0.31
2013,울산,시도,주민세,7913202000,0.02
2013,울산,시도,지방교육세,107183073000,0.27
2013,울산,시도,지방소득세,335154591000,0.86
2013,울산,시도,지역자원시설세,21922330000,0.05
2013,울산,시도,취득세,311607952000,0.8
2013,인천,군,과년도수입,1083429000,0.05
2013,인천,군,담배소비세,5662454000,0.27
2013,인천,군,도시계획세(재산세),0,0
2013,인천,군,도축세,0,0
2013,인천,군,자동차세,10736984000,0.51
2013,인천,군,재산세,15046901000,0.72
2013,인천,군,주민세,474919000,0.02
2013,인천,군,지방소득세,9600865000,0.46
2013,인천,군,지역자원시설세,0,0
2013,인천,시도,과년도수입,11276144000,0.03
2013,인천,시도,담배소비세,147146432000,0.38
2013,인천,시도,도시계획세(재산세),309818000,0
2013,인천,시도,도축세,0,0
2013,인천,시도,등록면허세,74667162000,0.19
2013,인천,시도,레저세,20683490000,0.05
2013,인천,시도,자동차세,352590013000,0.9
2013,인천,시도,재산세,465537204000,1.19
2013,인천,시도,주민세,17238486000,0.04
2013,인천,시도,지방교육세,278190977000,0.71
2013,인천,시도,지방소득세,370767259000,0.95
2013,인천,시도,지역자원시설세,48406271000,0.12
2013,인천,시도,취득세,932065406000,2.39
2013,전남,군,과년도수입,2447581000,0.12
2013,전남,군,담배소비세,44042893000,2.1
2013,전남,군,도시계획세(재산세),36118000,0
2013,전남,군,도축세,0,0
2013,전남,군,자동차세,139114054000,6.64
2013,전남,군,재산세,53534538000,2.56
2013,전남,군,주민세,5573070000,0.27
2013,전남,군,지방소득세,73185458000,3.49
2013,전남,군,지역자원시설세,0,0
2013,전남,시,과년도수입,6112009000,0.05
2013,전남,시,담배소비세,57577025000,0.46
2013,전남,시,도시계획세(재산세),3961000,0
2013,전남,시,도축세,0,0
2013,전남,시,자동차세,159102559000,1.27
2013,전남,시,재산세,100825800000,0.8
2013,전남,시,주민세,8990556000,0.07
2013,전남,시,지방소득세,186000132000,1.48
2013,전남,시,지역자원시설세,0,0
2013,전남,시도,과년도수입,5500739000,0.01
2013,전남,시도,담배소비세,0,0
2013,전남,시도,등록면허세,34658263000,0.09
2013,전남,시도,레저세,0,0
2013,전남,시도,자동차세,0,0
2013,전남,시도,지방교육세,134733540000,0.34
2013,전남,시도,지역자원시설세,46982473000,0.12
2013,전남,시도,취득세,385923258000,0.99
2013,전북,군,과년도수입,202024000,0.01
2013,전북,군,담배소비세,17671056000,0.84
2013,전북,군,도시계획세(재산세),498000,0
2013,전북,군,도축세,0,0
2013,전북,군,자동차세,51106915000,2.44
2013,전북,군,재산세,21162847000,1.01
2013,전북,군,주민세,2164642000,0.1
2013,전북,군,지방소득세,38961268000,1.86
2013,전북,군,지역자원시설세,0,0
2013,전북,시,과년도수입,11960753000,0.1
2013,전북,시,담배소비세,79824265000,0.64
2013,전북,시,도시계획세(재산세),2553000,0
2013,전북,시,도축세,0,0
2013,전북,시,자동차세,222592451000,1.77
2013,전북,시,재산세,128984613000,1.03
2013,전북,시,주민세,9071251000,0.07
2013,전북,시,지방소득세,166726222000,1.33
2013,전북,시,지역자원시설세,0,0
2013,전북,시도,과년도수입,4480853000,0.01
2013,전북,시도,담배소비세,0,0
2013,전북,시도,등록면허세,33525970000,0.08
2013,전북,시도,레저세,0,0
2013,전북,시도,자동차세,0,0
2013,전북,시도,지방교육세,131249303000,0.34
2013,전북,시도,지역자원시설세,22742440000,0.06
2013,전북,시도,취득세,353841868000,0.9
2013,제주,시,과년도수입,20324000,0
2013,제주,시,담배소비세,39574659000,0.31
2013,제주,시,도시계획세(재산세),4404000,0
2013,제주,시,자동차세,84895770000,0.68
2013,제주,시,재산세,77487199000,0.62
2013,제주,시,주민세,3559642000,0.03
2013,제주,시,지방소득세,65176941000,0.52
2013,제주,시,지역자원시설세,0,0
2013,제주,시도,과년도수입,4762457000,0.01
2013,제주,시도,도축세,0,0
2013,제주,시도,등록면허세,16526442000,0.04
2013,제주,시도,레저세,62301817000,0.16
2013,제주,시도,지방교육세,87559616000,0.22
2013,제주,시도,지역자원시설세,7909711000,0.02
2013,제주,시도,취득세,263534271000,0.67
2013,충남,군,과년도수입,3493997000,0.17
2013,충남,군,담배소비세,27257242000,1.3
2013,충남,군,도시계획세(재산세),5824000,0
2013,충남,군,도축세,0,0
2013,충남,군,자동차세,71314130000,3.4
2013,충남,군,재산세,44586382000,2.13
2013,충남,군,주민세,3078282000,0.15
2013,충남,군,지방소득세,43301145000,2.07
2013,충남,군,지역자원시설세,0,0
2013,충남,시,과년도수입,11056346000,0.09
2013,충남,시,담배소비세,104235926000,0.83
2013,충남,시,도시계획세(재산세),52206000,0
2013,충남,시,도축세,0,0
2013,충남,시,자동차세,225773031000,1.8
2013,충남,시,재산세,224330866000,1.78
2013,충남,시,주민세,14752734000,0.12
2013,충남,시,지방소득세,401304679000,3.19
2013,충남,시,지역자원시설세,0,0
2013,충남,시도,과년도수입,5482125000,0.01
2013,충남,시도,담배소비세,0,0
2013,충남,시도,등록면허세,52950021000,0.13
2013,충남,시도,레저세,18721885000,0.05
2013,충남,시도,자동차세,0,0
2013,충남,시도,지방교육세,197902942000,0.5
2013,충남,시도,지역자원시설세,36491989000,0.09
2013,충남,시도,취득세,559086701000,1.43
2013,충북,군,과년도수입,6084370000,0.29
2013,충북,군,담배소비세,38419815000,1.83
2013,충북,군,도시계획세(재산세),4179000,0
2013,충북,군,도축세,0,0
2013,충북,군,자동차세,86071965000,4.11
2013,충북,군,재산세,66766796000,3.19
2013,충북,군,주민세,6982772000,0.33
2013,충북,군,지방소득세,111061983000,5.3
2013,충북,군,지역자원시설세,0,0
2013,충북,시,과년도수입,7853491000,0.06
2013,충북,시,담배소비세,55393138000,0.44
2013,충북,시,도시계획세(재산세),38217000,0
2013,충북,시,도축세,0,0
2013,충북,시,자동차세,142125466000,1.13
2013,충북,시,재산세,95007566000,0.76
2013,충북,시,주민세,6140098000,0.05
2013,충북,시,지방소득세,113378473000,0.9
2013,충북,시,지역자원시설세,0,0
2013,충북,시도,과년도수입,4068932000,0.01
2013,충북,시도,담배소비세,0,0
2013,충북,시도,등록면허세,33924312000,0.09
2013,충북,시도,레저세,0,0
2013,충북,시도,자동차세,0,0
2013,충북,시도,지방교육세,129463067000,0.34
2013,충북,시도,지역자원시설세,26908415000,0.07
2013,충북,시도,취득세,365036517000,0.94
2014,강원,군,과년도수입,4639650000,0.23
2014,강원,군,담배소비세,39114622000,1.9
2014,강원,군,도시계획세(재산세),33516000,0
2014,강원,군,도축세,0,0
2014,강원,군,자동차세,49481630000,2.41
2014,강원,군,재산세,54198651000,2.64
2014,강원,군,주민세,6342229000,0.31
2014,강원,군,지방소득세,41375370000,2.01
2014,강원,군,지역자원시설세,0,0
2014,강원,시,과년도수입,8732330000,0.06
2014,강원,시,담배소비세,70037385000,0.51
2014,강원,시,도시계획세(재산세),22291000,0
2014,강원,시,도축세,0,0
2014,강원,시,자동차세,154166922000,1.13
2014,강원,시,재산세,126603654000,0.93
2014,강원,시,주민세,15390248000,0.11
2014,강원,시,지방소득세,94088111000,0.69
2014,강원,시,지역자원시설세,0,0
2014,강원,시도,과년도수입,5723627000,0.02
2014,강원,시도,담배소비세,0,0
2014,강원,시도,등록면허세,31597658000,0.07
2014,강원,시도,레저세,0,0
2014,강원,시도,자동차세,0,0
2014,강원,시도,지방교육세,139784829000,0.31
2014,강원,시도,지역자원시설세,29375130000,0.06
2014,강원,시도,취득세,390373151000,0.84
2014,경기,군,과년도수입,4114386000,0.2
2014,경기,군,담배소비세,17348160000,0.84
2014,경기,군,도시계획세(재산세),1268000,0
2014,경기,군,도축세,0,0
2014,경기,군,자동차세,51591522000,2.51
2014,경기,군,재산세,45633084000,2.22
2014,경기,군,주민세,1894673000,0.09
2014,경기,군,지방소득세,18064117000,0.88
2014,경기,군,지역자원시설세,0,0
2014,경기,시,과년도수입,157273438000,1.16
2014,경기,시,담배소비세,660673880000,4.86
2014,경기,시,도시계획세(재산세),556480000,0
2014,경기,시,도축세,0,0
2014,경기,시,자동차세,1536140433000,11.29
2014,경기,시,재산세,2351633503000,17.28
2014,경기,시,주민세,311228407000,2.29
2014,경기,시,지방소득세,2144216752000,15.76
2014,경기,시,지역자원시설세,0,0
2014,경기,시도,과년도수입,13179586000,0.03
2014,경기,시도,담배소비세,0,0
2014,경기,시도,등록면허세,381046684000,0.83
2014,경기,시도,레저세,553987716000,1.2
2014,경기,시도,자동차세,0,0
2014,경기,시도,지방교육세,1489598938000,3.23
2014,경기,시도,지역자원시설세,259730738000,0.57
2014,경기,시도,취득세,4185280507000,9.09
2014,경남,군,과년도수입,3451933000,0.17
2014,경남,군,담배소비세,30569859000,1.49
2014,경남,군,도시계획세(재산세),1069000,0
2014,경남,군,도축세,0,0
2014,경남,군,자동차세,78024279000,3.8
2014,경남,군,재산세,42523647000,2.07
2014,경남,군,주민세,9422102000,0.46
2014,경남,군,지방소득세,42327999000,2.06
2014,경남,군,지역자원시설세,0,0
