회계연도,지역명,자치단체명,본청여부,당초예산,세입결산,오차액,오차율
2012,경북,경북상주시,N,601124267000,752414110634,151289843634,25.1678
2012,경북,경북성주군,N,255302734000,421167894350,165865160350,64.968
2012,경북,경북안동시,N,721950000000,932452219625,210502219625,29.1575
2012,경북,경북영덕군,N,301024917000,370021904660,68996987660,22.9207
2012,경북,경북영양군,N,204642837000,292865846460,88223009460,43.1107
2012,경북,경북영주시,N,451153484000,590685183582,139531699582,30.9278
2012,경북,경북영천시,N,546315276000,779334247552,233018971552,42.6528
2012,경북,경북예천군,N,283103001000,367832836695,84729835695,29.929
2012,경북,경북울릉군,N,134587859000,207433676099,72845817099,54.1251
2012,경북,경북울진군,N,431598377000,547133349490,115534972490,26.7691
2012,경북,경북의성군,N,401843746000,553947560315,152103814315,37.8515
2012,경북,경북청도군,N,285937438000,415155732321,129218294321,45.1911
2012,경북,경북청송군,N,223684935000,310360109171,86675174171,38.7488
2012,경북,경북칠곡군,N,394657337000,531393495240,136736158240,34.6468
2012,경북,경북포항시,N,1244972416000,1378531684678,133559268678,10.7279
2012,광주,광주광산구,N,325069775000,432629556547,107559781547,33.0882
2012,광주,광주남구,N,197333054000,308948852946,111615798946,56.5621
2012,광주,광주동구,N,182910909000,235114911739,52204002739,28.5407
2012,광주,광주본청,Y,3390869678000,3887374924177,496505246177,14.6424
2012,광주,광주북구,N,366811786000,458561658842,91749872842,25.0128
2012,광주,광주서구,N,244749890000,335698902775,90949012775,37.16
2012,대구,대구남구,N,173814014000,206626147097,32812133097,18.8777
2012,대구,대구달서구,N,371838515000,441623093386,69784578386,18.7674
2012,대구,대구달성군,N,361571140000,495983884756,134412744756,37.1746
2012,대구,대구동구,N,322433287000,381839681220,59406394220,18.4244
2012,대구,대구본청,Y,5658658372000,6398205466005,739547094005,13.0693
2012,대구,대구북구,N,333049424000,375856084730,42806660730,12.8529
2012,대구,대구서구,N,184934126000,207155598161,22221472161,12.0159
2012,대구,대구수성구,N,313617030000,381206846092,67589816092,21.5517
2012,대구,대구중구,N,139673435000,171543583887,31870148887,22.8176
2012,대전,대전대덕구,N,223186910000,274325894467,51138984467,22.9131
2012,대전,대전동구,N,280187091000,378210030967,98022939967,34.9848
2012,대전,대전본청,Y,3472537513000,4269051360829,796513847829,22.9375
2012,대전,대전서구,N,348028759000,474163979281,126135220281,36.2428
2012,대전,대전유성구,N,242800256000,389342801108,146542545108,60.3552
2012,대전,대전중구,N,248918162000,313694472089,64776310089,26.0231
2012,부산,부산강서구,N,152537588000,225400954060,72863366060,47.7675
2012,부산,부산금정구,N,220816967000,292878512288,72061545288,32.6341
2012,부산,부산기장군,N,356814310000,490838087631,134023777631,37.5612
2012,부산,부산남구,N,188755126000,268056035793,79300909793,42.0126
2012,부산,부산동구,N,148252615000,186563616018,38311001018,25.8417
2012,부산,부산동래구,N,218900538000,270903587760,52003049760,23.7565
2012,부산,부산본청,Y,8767692765000,9898928384082,1131235619082,12.9023
2012,부산,부산부산진구,N,274778045000,359573188230,84795143230,30.8595
2012,부산,부산북구,N,239229729000,297778782562,58549053562,24.474
2012,부산,부산사상구,N,208311821000,283160620280,74848799280,35.9311
2012,부산,부산사하구,N,257584071000,353207200462,95623129462,37.1231
2012,부산,부산서구,N,150302056000,207728330603,57426274603,38.2072
2012,부산,부산수영구,N,149069203000,188793470990,39724267990,26.6482
2012,부산,부산연제구,N,171377058000,242240898200,70863840200,41.3497
2012,부산,부산영도구,N,153256886000,205827107142,52570221142,34.302
2012,부산,부산중구,N,95525731000,144541455709,49015724709,51.3115
2012,부산,부산해운대구,N,318614497000,406131980914,87517483914,27.4681
2012,서울,서울강남구,N,788575089000,896867303939,108292214939,13.7326
2012,서울,서울강동구,N,364446914000,407662144739,43215230739,11.8578
2012,서울,서울강북구,N,339444417000,406670218232,67225801232,19.8047
2012,서울,서울강서구,N,464726649000,560807959010,96081310010,20.6748
2012,서울,서울관악구,N,377421007000,431594797066,54173790066,14.3537
2012,서울,서울광진구,N,293668538000,361120551559,67452013559,22.9688
2012,서울,서울구로구,N,364380164000,435450620609,71070456609,19.5045
2012,서울,서울금천구,N,262453971000,326516256040,64062285040,24.409
2012,서울,서울노원구,N,458361205000,522666378563,64305173563,14.0294
2012,서울,서울도봉구,N,288134595000,351564807732,63430212732,22.0141
2012,서울,서울동대문구,N,348776224000,408681972263,59905748263,17.176
2012,서울,서울동작구,N,329281315000,384106358204,54825043204,16.6499
2012,서울,서울마포구,N,376480209000,435019362509,58539153509,15.5491
2012,서울,서울본청,Y,24343667131000,24987275288306,643608157306,2.6438
2012,서울,서울서대문구,N,287141785000,347015939790,59874154790,20.8518
2012,서울,서울서초구,N,490357786000,563239980801,72882194801,14.8631
2012,서울,서울성동구,N,325005872000,407090709958,82084837958,25.2564
2012,서울,서울성북구,N,385161334000,443673640971,58512306971,15.1916
2012,서울,서울송파구,N,465186843000,529625721623,64438878623,13.8523
2012,서울,서울양천구,N,364979718000,419057528098,54077810098,14.8167
2012,서울,서울영등포구,N,358492854000,448974367325,90481513325,25.2394
2012,서울,서울용산구,N,273825256000,323759903731,49934647731,18.236
2012,서울,서울은평구,N,365179286000,445807889649,80628603649,22.0792
2012,서울,서울종로구,N,324846535000,414617430775,89770895775,27.6349
2012,서울,서울중구,N,288315043000,363660797683,75345754683,26.1331
2012,서울,서울중랑구,N,338646902000,383693848191,45046946191,13.302
2012,울산,울산남구,N,258407382000,348127944335,89720562335,34.7206
2012,울산,울산동구,N,141132896000,186809269877,45676373877,32.3641
2012,울산,울산본청,Y,2673772410000,3297489986962,623717576962,23.3273
2012,울산,울산북구,N,171063268000,229939050335,58875782335,34.4175
2012,울산,울산울주군,N,472557420000,655497156785,182939736785,38.7127
2012,울산,울산중구,N,228271874000,299890177707,71618303707,31.3741
2012,인천,인천강화군,N,350852862000,438876175004,88023313004,25.0884
2012,인천,인천계양구,N,248349018000,300911887115,52562869115,21.1649
2012,인천,인천남구,N,337030740000,371033669803,34002929803,10.089
2012,인천,인천남동구,N,423724097000,509125362005,85401265005,20.1549
2012,인천,인천동구,N,153427079000,179209742209,25782663209,16.8045
2012,인천,인천본청,Y,7998358333000,7791382524588,-206975808412,-2.5877
2012,인천,인천부평구,N,408185586000,450463180973,42277594973,10.3574
2012,인천,인천서구,N,373435718000,459044103608,85608385608,22.9245
2012,인천,인천연수구,N,275566388000,321880509770,46314121770,16.8069
2012,인천,인천옹진군,N,218072225000,324888477590,106816252590,48.9821
2012,인천,인천중구,N,218849848000,303691160354,84841312354,38.7669
2012,전남,전남강진군,N,251976895000,353546120239,101569225239,40.3089
2012,전남,전남고흥군,N,405647792000,579536851732,173889059732,42.867
2012,전남,전남곡성군,N,238360025000,329015409869,90655384869,38.033
2012,전남,전남광양시,N,495076500000,612929507929,117853007929,23.805
2012,전남,전남구례군,N,214137571000,301985242917,87847671917,41.0239
2012,전남,전남나주시,N,438190106000,713369868575,275179762575,62.7992
2012,전남,전남담양군,N,290856566000,408820015233,117963449233,40.5573
2012,전남,전남목포시,N,585486434000,713003850686,127517416686,21.7797
2012,전남,전남무안군,N,326072213000,468854741572,142782528572,43.7886
2012,전남,전남보성군,N,327438250000,450765962466,123327712466,37.6644
2012,전남,전남본청,Y,5664760056000,6931744996164,1266984940164,22.3661
2012,전남,전남순천시,N,762769036000,1005056161389,242287125389,31.7642
2012,전남,전남신안군,N,392924925000,609598889792,216673964792,55.1439
2012,전남,전남여수시,N,939519712000,1367512986537,427993274537,45.5545
2012,전남,전남영광군,N,357971631000,548022375177,190050744177,53.091
2012,전남,전남영암군,N,389821351000,519925183399,130103832399,33.3752
2012,전남,전남완도군,N,335733744000,552387245898,216653501898,64.5313
2012,전남,전남장성군,N,288908460000,422998143596,134089683596,46.4125
2012,전남,전남장흥군,N,278151134000,446048648249,167897514249,60.362
2012,전남,전남진도군,N,250123689000,419418665726,169294976726,67.6845
2012,전남,전남함평군,N,233827460000,344172854681,110345394681,47.1909
2012,전남,전남해남군,N,436010074000,626344399263,190334325263,43.6537
2012,전남,전남화순군,N,414651929000,581006155424,166354226424,40.119
2012,전북,전북고창군,N,386205143000,551656483427,165451340427,42.8403
2012,전북,전북군산시,N,814644585000,1019495850179,204851265179,25.1461
2012,전북,전북김제시,N,506011481000,633489915024,127478434024,25.1928
2012,전북,전북남원시,N,465373558000,565698865989,100325307989,21.558
2012,전북,전북무주군,N,244387877000,349781940358,105394063358,43.1257
2012,전북,전북본청,Y,4590444009000,5048281052331,457837043331,9.9737
2012,전북,전북부안군,N,344744743000,446858096036,102113353036,29.62
2012,전북,전북순창군,N,242700002000,336782332983,94082330983,38.7649
2012,전북,전북완주군,N,507191450000,688301599051,181110149051,35.7084
2012,전북,전북익산시,N,809878855000,1046013975385,236135120385,29.1568
2012,전북,전북임실군,N,288866144000,392837871848,103971727848,35.993
2012,전북,전북장수군,N,246534679000,348012270601,101477591601,41.1616
