시도명,회계연도,기금명,전년도현재액,증감액,조성액,사용액,당해현재액,일몰기간,원본단위,통합재정안정화기금여부
충남,2024,남북교류협력기금,5500,200,200,0,5700,,억원,N
충남,2024,지역개발기금,847600,101500,219100,117600,949100,,억원,N
충남,2024,통합재정안정화기금(재정안정화계정),31300,-29800,1000,30800,1500,,억원,Y
충남,2024,양성평등기금,3500,0,100,100,3500,,억원,N
충남,2024,사회적경제기금,1500,-200,0,200,1300,,억원,N
충남,2024,국외소재문화재기금,5200,-300,200,500,4900,,억원,N
충남,2024,정의로운전환기금,4700,-1200,2700,3900,3500,,억원,N
충남,2024,고향사랑기금,100,100,100,0,200,,억원,N
충남,2024,청소년육성기금,2700,0,100,100,2700,,억원,N
충남,2024,농어촌진흥기금,27800,100,800,700,27900,,억원,N
충남,2024,중소기업육성기금,108500,-36500,16200,52700,72000,,억원,N
충남,2024,사회복지기금,6900,-100,200,300,6800,,억원,N
충남,2024,재해구호기금,33200,-10000,14800,24800,23200,,억원,N
충남,2024,식품진흥기금,6900,-100,500,600,6800,,억원,N
충남,2024,재난관리기금,66000,-14600,23900,38500,51400,,억원,N
경북,2024,통합재정안정화기금,235600,-3700,12400,16100,232000,2025-12-31,억원,Y
경북,2024,남북교류협력기금,8500,800,800,0,9300,2026-12-31,억원,N
경북,2024,에너지사업육성기금,7700,2900,12500,9700,10500,2025-11-04,억원,N
경북,2024,지역개발기금,1319600,-100000,289600,389700,1219600,,억원,N
경북,2024,관광진흥기금,28100,2700,11300,8600,30800,2028-12-31,억원,N
경북,2024,맑은누리파크주민지원기금,4700,400,600,100,5200,,억원,N
경북,2024,중소기업육성기금,80100,-5200,82000,87300,74900,2026-08-31,억원,N
경북,2024,여성가족기금,13000,0,400,400,13100,2025-12-31,억원,N
경북,2024,고향사랑기금,500,300,300,0,800,,억원,N
경북,2024,문화진흥기금,10000,0,300,300,10000,2026-12-31,억원,N
경북,2024,농어촌진흥기금,143600,5400,41000,35500,149000,2025-12-31,억원,N
경북,2024,포플라장학기금,1600,0,0,0,1600,2024-12-31,억원,N
경북,2024,사회복지기금,10200,-200,300,500,10000,2026-12-31,억원,N
경북,2024,재해구호기금,27600,11500,14000,2500,39000,,억원,N
경북,2024,식품진흥기금,20200,0,1000,1000,20200,,억원,N
경북,2024,재난관리기금,53100,11700,25700,14000,64800,,억원,N
경북,2024,공무원주거안정기금,800,200,7300,7000,1000,2026-12-31,억원,N
충북,2024,통합재정안정화기금,181700,-5900,15600,21500,175800,,억원,Y
충북,2024,투자진흥기금,31800,-100,2200,2300,31700,,억원,N
충북,2024,체육진흥기금,2900,100,100,0,3000,,억원,N
충북,2024,남북교류협력기금,4700,200,200,0,4900,,억원,N
충북,2024,양성평등기금,6700,100,200,200,6800,,억원,N
충북,2024,지역개발기금,852900,-10000,213600,223600,843000,,억원,N
충북,2024,고향사랑기금,200,400,500,100,600,,억원,N
충북,2024,중소기업육성기금,51000,20000,72300,52300,71000,,억원,N
충북,2024,자활기금,2000,0,100,100,2000,,억원,N
충북,2024,사회복지기금,32900,8000,8800,800,40800,,억원,N
충북,2024,청소년육성기금,1500,0,100,100,1500,,억원,N
충북,2024,재난관리기금,35700,5100,16100,11000,40800,,억원,N
충북,2024,농촌전문인력육성기금,6200,0,200,200,6200,,억원,N
충북,2024,식품진흥기금,11500,300,800,500,11900,,억원,N
충북,2024,환경보전기금,37100,-6000,5100,11100,31100,,억원,N
전남,2024,남북교류협력기금,6247,644,644,0,6891,,백만원,N
전남,2024,녹색축산육성기금,32423,-6716,11606,18322,25708,,백만원,N
전남,2024,농어촌진흥기금,30473,-10975,38399,49374,19498,,백만원,N
전남,2024,관광진흥기금,34415,-5998,4740,10738,28417,,백만원,N
전남,2024,중소기업육성기금,64469,-16555,63768,80323,47914,,백만원,N
전남,2024,재해구호기금,10992,7435,8721,1286,18427,,백만원,N
전남,2024,지역개발기금,1135823,45765,312413,266648,1181588,,백만원,N
전남,2024,통합재정안정화기금(재정안정화계정),80858,-70657,133984,204641,10201,,백만원,Y
전남,2024,기후대응기금,4682,569,799,230,5251,,백만원,N
전남,2024,고향사랑기금,0,634,634,0,634,,백만원,N
전남,2024,양성평등기금,6002,-100,148,248,5902,,백만원,N
전남,2024,식품진흥기금,7830,-93,414,507,7737,,백만원,N
전남,2024,재난관리기금,17429,3369,17071,13702,20798,,백만원,N
전남,2024,통합재정안정화기금(통합계정),121471,13179,27136,13957,134650,,백만원,Y
전남,2024,한옥발전기금,40706,668,3709,3041,41374,,백만원,N
전남,2024,친환경농업육성기금,40236,-4131,1708,5838,36106,,백만원,N
경남,2024,남북교류협력기금,5400,200,200,0,5600,,억원,N
경남,2024,식품진흥기금,22500,-200,2400,2600,22300,,억원,N
경남,2024,재해구호기금,32600,14900,16900,2000,47400,,억원,N
경남,2024,농어촌진흥기금,43500,-800,21300,22100,42700,,억원,N
경남,2024,투자유치진흥기금,64700,-13200,5000,18300,51500,,억원,N
경남,2024,재난관리기금,37200,3900,32800,28900,41100,,억원,N
경남,2024,지역개발기금,415000,7400,95500,88000,422400,,억원,N
경남,2024,사회적경제기금,1100,2100,2200,0,3200,,억원,N
경남,2024,통합재정안정화기금,112400,800,16600,15900,113200,,억원,Y
경남,2024,양성평등기금,4100,100,100,0,4200,,억원,N
경남,2024,중소기업투자기금,2400,-2100,7600,9700,400,,억원,N
경남,2024,고향사랑기금,100,100,100,0,300,,억원,N
