회계연도,지역명,자치단체명,자치단체코드,본청여부,전년도현재액,증감액총계,조성액,사용액,당해년도현재액
2014,광주,광주서구,2912000,N,5598477048,1380789770,1922168662,541378892,6979266818
2014,광주,광주남구,2913000,N,1853766948,1392910221,1560039657,167129436,3246677169
2014,광주,광주북구,2914000,N,7637536989,2404331003,3864221963,1459890960,10041867992
2014,광주,광주광산구,2915000,N,5190466172,1786445164,2323227084,536781920,6976911336
2014,대전,대전본청,3000000,Y,275942024104,238550424996,292306507356,53756082360,514492449100
2014,대전,대전동구,3011000,N,10363250098,1123478193,2637729893,1514251700,11486728291
2014,대전,대전중구,3012000,N,13099194077,827663721,1444231141,616567420,13926857798
2014,대전,대전서구,3013000,N,20884426536,3388410394,13879169252,10490758858,24272836930
2014,대전,대전유성구,3014000,N,31805309397,-2433935995,4352522625,6786458620,29371373402
2014,대전,대전대덕구,3015000,N,8665803546,1073989698,3277524498,2203534800,9739793244
2014,울산,울산본청,3100000,Y,227343691611,12442687136,53844181837,41401494701,239786378747
2014,울산,울산중구,3111000,N,5053155507,508075070,955433830,447358760,5561230577
2014,울산,울산남구,3112000,N,10228455284,961888705,2033323823,1071435118,11190343989
2014,울산,울산동구,3113000,N,3561609726,656397220,1685224660,1028827440,4218006946
2014,울산,울산북구,3114000,N,3306148481,580401101,1202007331,621606230,3886549582
2014,울산,울산울주군,3171000,N,69949089512,4786984710,15568088340,10781103630,74736074222
2014,세종,세종본청,3200000,Y,23397552864,6333611707,8753975477,2420363770,29731164571
2014,경기,경기본청,4100000,Y,904647794275,-42104300853,833860991637,875965292490,862543493422
2014,경기,경기수원시,4111000,N,133856851412,9515744070,26710219938,17194475868,143372595482
2014,경기,경기성남시,4112000,N,327552345046,36805033986,75474953281,38669919295,364357379032
2014,경기,경기의정부시,4113000,N,37084350959,5690961062,8079477807,2388516745,42775312021
2014,경기,경기안양시,4114000,N,153292277606,16417615740,24290802825,7873187085,169709893346
2014,경기,경기부천시,4115000,N,71066300400,1890808246,3384706168,1493897922,72957108646
2014,경기,경기광명시,4116000,N,50781072106,3162495349,5177474858,2014979509,53943567455
2014,경기,경기평택시,4117000,N,32047948605,3709545659,7554170119,3844624460,35757494264
2014,경기,경기동두천시,4118000,N,21948163460,870292650,1517962310,647669660,22818456110
2014,경기,경기안산시,4119000,N,388402528328,8595579762,35448932982,26853353220,396998108090
2014,경기,경기고양시,4120000,N,53789229618,2321078081,6693857470,4372779389,56110307699
2014,경기,경기과천시,4121000,N,209829602851,-54869390729,7717890715,62587281444,154960212122
2014,경기,경기구리시,4122000,N,21050455303,1574924566,2777003206,1202078640,22625379869
2014,경기,경기남양주시,4123000,N,47673393040,2954374130,7164571350,4210197220,50627767170
2014,경기,경기오산시,4124000,N,23036781905,1334758534,2445419124,1110660590,24371540439
2014,경기,경기시흥시,4125000,N,37360136246,5691922554,35201434474,29509511920,43052058800
2014,경기,경기군포시,4126000,N,29991778074,1178426340,2243528830,1065102490,31170204414
2014,경기,경기의왕시,4127000,N,13613438679,10465217375,11110963725,645746350,24078656054
2014,경기,경기하남시,4128000,N,16951564565,1598648781,2941450671,1342801890,18550213346
2014,경기,경기용인시,4129000,N,194620885832,25596488975,45691921082,20095432107,220217374807
2014,경기,경기파주시,4130000,N,37986484277,1485754450,4230997080,2745242630,39472238727
2014,경기,경기이천시,4131000,N,13993321710,153660652,3298748140,3145087488,14146982362
